1065543,19050,군인 경찰들은 대접좀 잘해줘라 이 미친나라야 군인은 자유민주주의 최후의 보루다,,,2021-05-09 11:51:58,2021-05-09 11:51:58
1065544,19050,내년 문재인 깜빵 식단으로 강추,,,2021-05-09 11:51:25,2021-05-09 11:51:25
1065545,19050,남은임기동안 내내. 재앙이도. 같은걸로주문 해줘~~,,,2021-05-09 11:51:16,2021-05-09 11:51:16
1065546,19050,"처음엔 보안상, 군기상 문제로 스마트폰 부대반입 반대입장이었는데, 내가 잘 못 생각했다는 것을 알았다. 부대 내 스마트폰 반입은 이 정부 역사상 가장 잘한 정책이었다. 인정.",,,2021-05-09 11:50:54,2021-05-09 11:50:54
1065547,19050,"밥은 제대로 먹여야지
이게뭡니까",,,2021-05-09 11:50:12,2021-05-09 11:50:12
1065548,19050,도대체 어느나라의 대통령인가,,,2021-05-09 11:48:52,2021-05-09 11:48:52
1065549,19050,세상 좋아졋네  보이스카웃이네 징징거리는거보니,,,2021-05-09 11:48:48,2021-05-09 11:48:48
1065550,19050,문재인   군대여...,,,2021-05-09 11:48:36,2021-05-09 11:48:36
1065551,19050,다 불살라버려야 정신 차릴려느,,,2021-05-09 11:47:58,2021-05-09 11:47:58
1065552,19050,북한에 퍼주지나 말고 우리 아들들 밥이나 제대로 먹여라,,,2021-05-09 11:47:57,2021-05-09 11:47:57
1065553,19050,임오군란이 머지 않았다,,,2021-05-09 11:47:52,2021-05-09 11:47:52
1065554,19050,"30년전 우리부대 상사들 퇴근할때마다 소고기등 병사부식빼갈때도 먹을만했었는데 저부대는 왜 저모양이쥐?
사단장이 뒷돈  제대로 챙기는겨?",,,2021-05-09 11:47:37,2021-05-09 11:47:37
1065555,19050,하루는 먹을수 있잖아,,,2021-05-09 11:47:00,2021-05-09 11:47:00
1065556,19050,그냥 죽으라고 주는거 같은데?? ㅋㅋㅋ  강제 징병했으면 밥이라도 잘줘라,,,2021-05-09 11:46:46,2021-05-09 11:46:46
1065557,19050,머슴도 저렇게는 안 먹이겠다,,,2021-05-09 11:45:59,2021-05-09 11:45:59
